Year,Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High)
1900,2.678,2.416,2.922
1901,2.678,2.416,2.922
1902,2.678,2.416,2.922
1903,2.678,2.416,2.922
1904,2.678,2.416,2.922
1905,2.678,2.416,2.922
1906,2.678,2.416,2.922
1907,2.678,2.416,2.922
1908,2.678,2.416,2.922
1909,2.678,2.416,2.922
1910,2.678,2.416,2.922
1911,2.678,2.416,2.922
1912,2.678,2.416,2.922
1913,2.801,2.495,3.042
1914,2.801,2.495,3.042
1915,2.801,2.495,3.042
1916,2.801,2.495,3.042
1917,2.801,2.495,3.042
1918,2.801,2.495,3.042
1919,2.801,2.495,3.042
1920,2.801,2.495,3.042
1921,2.801,2.495,3.042
1922,2.811,2.52,3.068
1923,2.811,2.52,3.068
1924,2.811,2.52,3.068
1925,2.811,2.52,3.068
1926,2.811,2.52,3.068
1927,2.811,2.52,3.068
1928,2.811,2.52,3.068
1929,2.811,2.52,3.068
1930,2.811,2.52,3.068
1931,2.811,2.52,3.068
1932,2.811,2.52,3.068
1933,2.811,2.52,3.068
1934,2.811,2.52,3.068
1935,2.811,2.52,3.068
1936,2.811,2.52,3.068
1937,2.811,2.52,3.068
1938,2.811,2.52,3.068
1939,2.811,2.52,3.068
1940,2.811,2.52,3.068
1941,2.811,2.52,3.068
1942,2.811,2.52,3.068
1943,2.811,2.52,3.068
1944,2.811,2.52,3.068
1945,2.933,2.6,3.175
1946,2.87,2.586,3.15
1947,2.87,2.586,3.15
1948,2.87,2.586,3.15
1949,2.87,2.586,3.15
1950,2.87,2.586,3.15
1951,2.87,2.586,3.15
1952,2.87,2.586,3.15
1953,2.87,2.586,3.15
1954,2.87,2.586,3.15
1955,2.87,2.586,3.15
1956,2.87,2.586,3.15
1957,2.87,2.586,3.15
1958,2.87,2.586,3.15
1959,2.87,2.586,3.15
1960,2.87,2.586,3.15
1961,2.87,2.586,3.15
1962,2.87,2.586,3.15
1963,2.87,2.586,3.15
1964,2.87,2.586,3.15
1965,2.947,2.684,3.259
1966,2.947,2.684,3.259
1967,2.947,2.684,3.259
1968,2.947,2.684,3.259
1969,2.87,2.547,3.112
1970,2.87,2.547,3.112
1971,2.87,2.547,3.112
1972,2.87,2.547,3.112
1973,2.87,2.547,3.112
1974,2.87,2.547,3.112
1975,2.87,2.547,3.112
1976,2.87,2.547,3.112
1977,2.87,2.547,3.112
1978,2.87,2.547,3.112
1979,2.87,2.547,3.112
1980,2.87,2.547,3.112
1981,2.87,2.547,3.112
1982,2.724,2.521,2.893
1983,2.724,2.521,2.893
1984,2.724,2.521,2.893
1985,2.724,2.521,2.893
1986,2.724,2.521,2.893
1987,2.724,2.521,2.893
1988,2.724,2.521,2.893
1989,2.724,2.521,2.893
1990,2.724,2.521,2.893
1991,2.724,2.521,2.893
1992,2.724,2.521,2.893
1993,2.724,2.521,2.893
1994,2.724,2.521,2.893
1995,2.724,2.521,2.893
1996,2.724,2.521,2.893
1997,2.724,2.521,2.893
1998,2.724,2.521,2.893
1999,2.724,2.521,2.893
2000,2.724,2.521,2.893
2001,2.724,2.521,2.893
2002,2.724,2.521,2.893
2003,2.724,2.521,2.893
2004,2.724,2.521,2.893
2005,2.724,2.521,2.893
2006,2.724,2.521,2.893
2007,2.724,2.521,2.893
2008,2.724,2.521,2.893
2009,2.724,2.521,2.893
2010,2.724,2.521,2.893
2011,2.724,2.521,2.893
2012,2.724,2.521,2.893
2013,2.724,2.521,2.893
2014,2.724,2.521,2.893
2015,2.724,2.521,2.893
2016,2.646,2.417,2.867
2017,2.704,2.45,2.92
2018,2.704,2.45,2.92
2019,2.704,2.45,2.92
2020,2.704,2.45,2.92
