Year,Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High)
1900,2.964875,2.666875,3.267375
1901,2.964875,2.666875,3.267375
1902,2.964875,2.666875,3.267375
1903,2.964875,2.666875,3.267375
1904,2.964875,2.666875,3.267375
1905,2.964875,2.666875,3.267375
1906,2.964875,2.666875,3.267375
1907,2.964875,2.666875,3.267375
1908,2.964875,2.666875,3.267375
1909,2.964875,2.666875,3.267375
1910,2.964875,2.666875,3.267375
1911,2.964875,2.666875,3.267375
1912,2.964875,2.666875,3.267375
1913,2.964875,2.666875,3.267375
1914,2.96714285714286,2.68657142857143,3.27142857142857
1915,2.96714285714286,2.68657142857143,3.27142857142857
1916,2.96714285714286,2.68657142857143,3.27142857142857
1917,2.96714285714286,2.68657142857143,3.27142857142857
1918,2.96714285714286,2.68657142857143,3.27142857142857
1919,3.01175,2.72775,3.304625
1920,3.01855555555556,2.735,3.31722222222222
1921,3.01855555555556,2.735,3.31722222222222
1922,3.01855555555556,2.735,3.31722222222222
1923,2.98544444444444,2.70944444444444,3.27922222222222
1924,2.98544444444444,2.70944444444444,3.27922222222222
1925,2.98544444444444,2.70944444444444,3.27922222222222
1926,2.98544444444444,2.70944444444444,3.27922222222222
1927,2.98544444444444,2.70944444444444,3.27922222222222
1928,2.98544444444444,2.70944444444444,3.27922222222222
1929,2.98544444444444,2.70944444444444,3.27922222222222
1930,2.97844444444444,2.70211111111111,3.26966666666667
1931,2.97844444444444,2.70211111111111,3.26966666666667
1932,2.97844444444444,2.70211111111111,3.26966666666667
1933,3.01242857142857,2.724,3.319
1934,3.01242857142857,2.724,3.319
1935,3.01242857142857,2.724,3.319
1936,3.01242857142857,2.724,3.319
1937,3.01242857142857,2.724,3.319
1938,3.01242857142857,2.724,3.319
1939,3.01242857142857,2.724,3.319
1940,3.028,2.733,3.30366666666667
1941,3.028,2.733,3.30366666666667
1942,3.028,2.733,3.30366666666667
1943,3.028,2.733,3.30366666666667
1944,2.8504,2.5316,3.1822
1945,3.21566666666667,2.9385,3.5245
1946,3.16575,2.90025,3.469625
1947,3.151375,2.87625,3.438125
1948,3.151375,2.87625,3.438125
1949,3.17933333333333,2.90866666666667,3.458
1950,3.17933333333333,2.90866666666667,3.458
1951,3.17933333333333,2.90866666666667,3.458
1952,3.17933333333333,2.90866666666667,3.458
1953,3.17933333333333,2.90866666666667,3.458
1954,3.17933333333333,2.90866666666667,3.458
1955,3.17933333333333,2.90866666666667,3.458
1956,3.17933333333333,2.90866666666667,3.458
1957,3.17933333333333,2.90866666666667,3.458
1958,3.18322222222222,2.91211111111111,3.46122222222222
1959,3.214,2.954,3.48288888888889
1960,3.214,2.954,3.48288888888889
1961,3.214,2.954,3.48288888888889
1962,3.21022222222222,2.95244444444444,3.482
1963,3.21022222222222,2.95244444444444,3.482
1964,3.21022222222222,2.95244444444444,3.482
1965,3.19033333333333,2.93566666666667,3.46177777777778
1966,3.19033333333333,2.93566666666667,3.46177777777778
1967,3.18,2.92466666666667,3.45222222222222
1968,3.18,2.92466666666667,3.45222222222222
1969,3.18,2.92466666666667,3.45222222222222
1970,3.15911111111111,2.90822222222222,3.42722222222222
1971,3.125,2.86788888888889,3.39044444444444
1972,3.125,2.86788888888889,3.39044444444444
1973,3.10088888888889,2.86211111111111,3.35833333333333
1974,3.10088888888889,2.86211111111111,3.35833333333333
